,Unnamed: 0,LogReg_pred,LogReg_accuracy,LogReg_prob,LGBM_pred,LGBM_accuracy,LGBM_prob,y,kNN_pred,kNN_accuracy,kNN_prob,ANN_pred,ANN_accuracy,ANN_prob,RF_pred,RF_accuracy,RF_prob,SVC_pred,SVC_accuracy,SVC_prob,LSTM_price_accuracy
86,86,1,0.4878504672897196,0.5028555353390397,1,0.4897196261682243,0.5174308545142138,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.518664,1,0.525233644859813,0.6234178362487186,1,0.4925233644859813,0.516170322826145,0.8570093457943925
87,87,1,0.4878504672897196,0.5001505337157433,1,0.4897196261682243,0.512655136743842,0,0,0.508411214953271,0.5,1,0.4831775700934579,0.5125137,0,0.525233644859813,0.4635372082767592,1,0.4925233644859813,0.5163570737576516,0.8570093457943925
88,88,1,0.4878504672897196,0.5335266247054813,1,0.4897196261682243,0.5174308545142138,1,1,0.508411214953271,1.0,1,0.4831775700934579,0.52341115,1,0.525233644859813,0.7000963929860986,1,0.4925233644859813,0.5184461398344691,0.8570093457943925
89,89,1,0.4878504672897196,0.5148596161750836,1,0.4897196261682243,0.5174308545142138,1,0,0.508411214953271,0.0,1,0.4831775700934579,0.52283293,1,0.525233644859813,0.5626676599544246,1,0.4925233644859813,0.5172483364900643,0.8570093457943925
90,90,0,0.4878504672897196,0.4738682105625367,0,0.4897196261682243,0.4814007635438876,1,0,0.508411214953271,0.5,0,0.4831775700934579,0.4960094,0,0.525233644859813,0.4360029137529138,0,0.4925233644859813,0.5142044600254755,0.8570093457943925
91,91,1,0.4878504672897196,0.511509596567085,0,0.4897196261682243,0.4839710357917466,0,0,0.508411214953271,0.0,0,0.4831775700934579,0.49458587,0,0.525233644859813,0.3399762737262737,1,0.4925233644859813,0.5169473521461162,0.8570093457943925
92,92,1,0.4878504672897196,0.5085497574595539,0,0.4897196261682243,0.4804504666386608,1,1,0.508411214953271,1.0,0,0.4831775700934579,0.49663568,0,0.525233644859813,0.3396612692862693,1,0.4925233644859813,0.5168581065968243,0.8570093457943925
93,93,1,0.4878504672897196,0.5083247004117982,0,0.4897196261682243,0.4902110837146851,1,0,0.508411214953271,0.5,1,0.4831775700934579,0.5042891,1,0.525233644859813,0.5293448773448772,1,0.4925233644859813,0.5173303282901163,0.8570093457943925
94,94,0,0.4878504672897196,0.4878250283631082,1,0.4897196261682243,0.5115886391639863,0,0,0.508411214953271,0.5,0,0.4831775700934579,0.49747223,0,0.525233644859813,0.3985674741924742,0,0.4925233644859813,0.5161189737022592,0.8570093457943925
95,95,1,0.4878504672897196,0.5207942742374584,1,0.4897196261682243,0.5215349209079891,0,1,0.508411214953271,1.0,0,0.4831775700934579,0.49598458,1,0.525233644859813,0.5395075202575201,1,0.4925233644859813,0.5187306853201751,0.8570093457943925
