,Unnamed: 0.1,ANN_pred,ANN_accuracy,ANN_prob,y,kNN_pred,kNN_accuracy,kNN_prob,RF_pred,RF_accuracy,RF_prob,XGB_pred,XGB_accuracy,XGB_prob,LGBM_pred,LGBM_accuracy,LGBM_prob,SVC_pred,SVC_accuracy,SVC_prob,LSTM_price_accuracy,RNN_pred,RNN_accuracy,RNN_prob,LogReg_pred,LogReg_accuracy,LogReg_prob
879,879,0,0.4690181124880839,0.30788928,1,0,0.4880838894184938,0.0,1,0.5147759771210677,0.5498453172644349,0,0.5214489990467112,0.48856613,1,0.5338417540514776,0.5278961795267496,1,0.5224022878932316,0.5266894331647082,0.8303145853193518,1,0.5281220209723546,0.54507464,1,0.5176358436606292,0.514219229598768
880,880,0,0.4690181124880839,0.3289374,1,1,0.4880838894184938,1.0,1,0.5147759771210677,0.6894619408369408,1,0.5214489990467112,0.52888316,1,0.5338417540514776,0.531355745685654,0,0.5224022878932316,0.5,0.8303145853193518,1,0.5281220209723546,0.55002284,0,0.5176358436606292,0.4874784523539384
881,881,0,0.4690181124880839,0.3842873,1,1,0.4880838894184938,1.0,1,0.5147759771210677,0.6265537445011128,1,0.5214489990467112,0.54302615,1,0.5338417540514776,0.5283264891576682,1,0.5224022878932316,0.5196856209297076,0.8303145853193518,1,0.5281220209723546,0.5549482,1,0.5176358436606292,0.5078191728661391
882,882,0,0.4690181124880839,0.42302024,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6649842682257541,1,0.5214489990467112,0.5469678,1,0.5338417540514776,0.529335248369918,1,0.5224022878932316,0.5346009721105087,0.8303145853193518,1,0.5281220209723546,0.5514799,1,0.5176358436606292,0.5345292529801016
883,883,0,0.4690181124880839,0.33447158,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.5434438616938618,1,0.5214489990467112,0.53352964,1,0.5338417540514776,0.5350906646000042,1,0.5224022878932316,0.5086255943966408,0.8303145853193518,1,0.5281220209723546,0.5392448,1,0.5176358436606292,0.5445540717213224
884,884,0,0.4690181124880839,0.3370902,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.5366639818300035,1,0.5214489990467112,0.50858945,1,0.5338417540514776,0.5185473104028884,0,0.5224022878932316,0.489941055102664,0.8303145853193518,1,0.5281220209723546,0.53937316,0,0.5176358436606292,0.49387486356235966
885,885,0,0.4690181124880839,0.3580398,1,0,0.4880838894184938,0.0,1,0.5147759771210677,0.520774864024864,1,0.5214489990467112,0.6291031,0,0.5338417540514776,0.4918596591440583,0,0.5224022878932316,0.4850708325677009,0.8303145853193518,1,0.5281220209723546,0.5381741,0,0.5176358436606292,0.4987086608863593
886,886,0,0.4690181124880839,0.33653927,0,1,0.4880838894184938,1.0,0,0.5147759771210677,0.4490401075532655,0,0.5214489990467112,0.44721708,0,0.5338417540514776,0.4852057206418693,0,0.5224022878932316,0.4669449327423968,0.8303145853193518,1,0.5281220209723546,0.5447169,0,0.5176358436606292,0.4472826507221186
887,887,0,0.4690181124880839,0.35504532,0,0,0.4880838894184938,0.0,1,0.5147759771210677,0.5542019532754828,1,0.5214489990467112,0.5103702,0,0.5338417540514776,0.4962375644606183,0,0.5224022878932316,0.5,0.8303145853193518,1,0.5281220209723546,0.5382298,1,0.5176358436606292,0.5071121374604176
888,888,0,0.4690181124880839,0.36030674,1,0,0.4880838894184938,0.0,0,0.5147759771210677,0.4192386224886225,0,0.5214489990467112,0.46950793,0,0.5338417540514776,0.4918596591440583,0,0.5224022878932316,0.4892102880036214,0.8303145853193518,1,0.5281220209723546,0.5389273,0,0.5176358436606292,0.4984911943678279
889,889,0,0.4690181124880839,0.3365833,1,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6428328046222783,1,0.5214489990467112,0.5246769,0,0.5338417540514776,0.4988323439070271,0,0.5224022878932316,0.4824604340501349,0.8303145853193518,1,0.5281220209723546,0.5494895,0,0.5176358436606292,0.47041977870519724
890,890,0,0.4690181124880839,0.3157227,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.5941646033704858,1,0.5214489990467112,0.5078191,1,0.5338417540514776,0.5010081430248933,0,0.5224022878932316,0.4782261585988874,0.8303145853193518,1,0.5281220209723546,0.52537936,0,0.5176358436606292,0.4650466520864786
891,891,0,0.4690181124880839,0.31506288,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.6853167151475976,1,0.5214489990467112,0.55628926,1,0.5338417540514776,0.5206188169859344,0,0.5224022878932316,0.5,0.8303145853193518,1,0.5281220209723546,0.54779506,1,0.5176358436606292,0.5088824628802981
892,892,0,0.4690181124880839,0.32457146,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.581626762126762,1,0.5214489990467112,0.50841564,1,0.5338417540514776,0.5183160732745486,1,0.5224022878932316,0.5217142566738229,0.8303145853193518,1,0.5281220209723546,0.5406373,1,0.5176358436606292,0.5383747799881047
893,893,0,0.4690181124880839,0.33135927,0,0,0.4880838894184938,0.5,0,0.5147759771210677,0.4397110224227097,0,0.5214489990467112,0.4646825,0,0.5338417540514776,0.4918581096414129,0,0.5224022878932316,0.4905093959880361,0.8303145853193518,1,0.5281220209723546,0.54107517,0,0.5176358436606292,0.49312163428953526
894,894,0,0.4690181124880839,0.34561616,0,0,0.4880838894184938,0.5,0,0.5147759771210677,0.3195115135982008,0,0.5214489990467112,0.44404778,0,0.5338417540514776,0.4894157567308563,0,0.5224022878932316,0.4793782223694304,0.8303145853193518,1,0.5281220209723546,0.54166824,0,0.5176358436606292,0.48259008963100736
895,895,0,0.4690181124880839,0.35420606,0,0,0.4880838894184938,0.5,0,0.5147759771210677,0.4877312548562547,1,0.5214489990467112,0.62695014,0,0.5338417540514776,0.4960702451693781,0,0.5224022878932316,0.4647829820175951,0.8303145853193518,1,0.5281220209723546,0.5410183,0,0.5176358436606292,0.48153026483524347
896,896,0,0.4690181124880839,0.36926505,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6423462787212786,1,0.5214489990467112,0.65318567,0,0.5338417540514776,0.4960702451693781,0,0.5224022878932316,0.4628678164679076,0.8303145853193518,1,0.5281220209723546,0.53959537,0,0.5176358436606292,0.48655134841805564
897,897,0,0.4690181124880839,0.37700585,1,1,0.4880838894184938,1.0,1,0.5147759771210677,0.7634929653679652,1,0.5214489990467112,0.74958414,0,0.5338417540514776,0.4960702451693781,0,0.5224022878932316,0.4762714683678303,0.8303145853193518,1,0.5281220209723546,0.53828835,0,0.5176358436606292,0.49317737868762407
898,898,0,0.4690181124880839,0.33996642,1,0,0.4880838894184938,0.0,0,0.5147759771210677,0.4616904500728031,0,0.5214489990467112,0.4851904,0,0.5338417540514776,0.4863446555193338,0,0.5224022878932316,0.4655677689058531,0.8303145853193518,0,0.5281220209723546,0.4776699,0,0.5176358436606292,0.42493846640001937
899,899,0,0.4690181124880839,0.34082407,1,0,0.4880838894184938,0.0,0,0.5147759771210677,0.4392697482256305,0,0.5214489990467112,0.4848681,1,0.5338417540514776,0.5070569143934567,0,0.5224022878932316,0.4846631477210416,0.8303145853193518,1,0.5281220209723546,0.54443634,0,0.5176358436606292,0.4686576822118171
900,900,0,0.4690181124880839,0.3586623,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.5807020920256215,1,0.5214489990467112,0.5084733,1,0.5338417540514776,0.5106561193305573,0,0.5224022878932316,0.5,0.8303145853193518,1,0.5281220209723546,0.5463754,1,0.5176358436606292,0.5044635436070327
901,901,0,0.4690181124880839,0.33267432,1,1,0.4880838894184938,1.0,1,0.5147759771210677,0.6631178127428128,1,0.5214489990467112,0.570296,1,0.5338417540514776,0.5102038436304693,1,0.5224022878932316,0.5242485579461332,0.8303145853193518,1,0.5281220209723546,0.54236007,1,0.5176358436606292,0.5502603232253811
902,902,0,0.4690181124880839,0.3401175,0,0,0.4880838894184938,0.5,1,0.5147759771210677,0.6133596844332136,1,0.5214489990467112,0.5195067,0,0.5338417540514776,0.4940481117478714,1,0.5224022878932316,0.5,0.8303145853193518,1,0.5281220209723546,0.4948931,0,0.5176358436606292,0.47431344050721647
903,903,0,0.4690181124880839,0.36199993,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.6543473985165161,1,0.5214489990467112,0.53851503,1,0.5338417540514776,0.5159157045221543,1,0.5224022878932316,0.5062682312493861,0.8303145853193518,1,0.5281220209723546,0.5475555,0,0.5176358436606292,0.4992722307951896
904,904,0,0.4690181124880839,0.32064864,1,0,0.4880838894184938,0.5,0,0.5147759771210677,0.4931358641358641,1,0.5214489990467112,0.52324075,1,0.5338417540514776,0.5188566887462239,1,0.5224022878932316,0.5343225403614003,0.8303145853193518,1,0.5281220209723546,0.5447944,1,0.5176358436606292,0.5415337402511122
905,905,0,0.4690181124880839,0.31618917,1,0,0.4880838894184938,0.5,0,0.5147759771210677,0.4412399267399267,1,0.5214489990467112,0.5041641,1,0.5338417540514776,0.5155608449839174,1,0.5224022878932316,0.5302142251486968,0.8303145853193518,1,0.5281220209723546,0.54416454,1,0.5176358436606292,0.5356027170105183
906,906,0,0.4690181124880839,0.38021508,0,1,0.4880838894184938,1.0,1,0.5147759771210677,0.6063045770019455,1,0.5214489990467112,0.52144015,1,0.5338417540514776,0.5076462851201217,1,0.5224022878932316,0.5236737854990312,0.8303145853193518,1,0.5281220209723546,0.5521102,1,0.5176358436606292,0.5026862244075545
